"error" "lambda"
"466" 0.75726 "1.3"
"467" 0.75729 "1.3"
"468" 0.74423 "1.3"
"469" 0.72714 "1.3"
"470" 0.75464 "1.3"
"471" 0.72867 "1.3"
"472" 0.73104 "1.3"
"473" 0.73887 "1.3"
"474" 0.75524 "1.3"
"475" 0.76350 "1.3"
"476" 0.75269 "1.3"
"477" 0.74828 "1.3"
"478" 0.74782 "1.3"
"479" 0.73985 "1.3"
"480" 0.70871 "1.3"
"481" 0.76852 "1.3"
"482" 0.74739 "1.3"
"483" 0.74966 "1.3"
"484" 0.74802 "1.3"
"485" 0.73738 "1.3"
"486" 0.75792 "1.3"
"487" 0.74384 "1.3"
"488" 0.74848 "1.3"
"489" 0.75482 "1.3"
"490" 0.74679 "1.3"
"491" 0.73007 "1.3"
"492" 0.75861 "1.3"
"493" 0.76876 "1.3"
"494" 0.75100 "1.3"
"495" 0.74428 "1.3"
"496" 0.75615 "1.3"
"497" 0.75444 "1.3"
"498" 0.72553 "1.3"
"499" 0.76012 "1.3"
"500" 0.74309 "1.3"
"501" 0.73816 "1.3"
"502" 0.76152 "1.3"
"503" 0.74313 "1.3"
"504" 0.77325 "1.3"
"505" 0.75008 "1.3"
"506" 0.73387 "1.3"
"507" 0.74483 "1.3"
"508" 0.73344 "1.3"
"509" 0.75153 "1.3"
"510" 0.71057 "1.3"
"511" 0.77856 "1.3"
"512" 0.73762 "1.3"
"513" 0.73729 "1.3"
"514" 0.74185 "1.3"
"515" 0.74992 "1.3"
"516" 0.77243 "1.3"
"517" 0.75489 "1.3"
"518" 0.75927 "1.3"
"519" 0.72855 "1.3"
"520" 0.71345 "1.3"
"521" 0.76464 "1.3"
"522" 0.75832 "1.3"
"523" 0.75693 "1.3"
"524" 0.75375 "1.3"
"525" 0.74788 "1.3"
