"mutation" "elitism" "lambda" "monoids" "degree" "error" "model"
"16" 0.0785714285714286 0.01 0.74 5 2 0.521351473001563 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x6^2) + I(x3^2*x9^2*x13) + I(x3^2*x8^3*x10*x12*x13) + I(x13^2) + I(x5*x6^2)"
"17" 0.0785714285714286 0.105 0.74 5 2 0.528841166230098 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x10*x13) + I(x4^3*x5*x10*x13^2) + I(x5*x6^2*x10^2) + I(x13^2) + I(x6^2)"
"18" 0.0785714285714286 0.105 0.9 5 2 0.495041455973543 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x5*x6^2*x9^2) + I(x6^2) + I(x4^2*x8^3*x9*x10^2) + I(x10^2*x13^2) + I(x10^2*x13)"
"19" 0.0785714285714286 0.105 0.9 4 2 0.532962701466166 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x3^3*x5^2*x6^2*x7*x8*x9^2) + I(x13^2) + I(x3^2*x9^2*x13) + I(x6^2)"
"20" 0.0785714285714286 0.105 0.9 4 4 0.545547125285432 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x4^4*x8^5*x10^2*x12^3) + I(x3*x6*x9^4*x10^4) + I(x6^2) + I(x6^4)"
"21" 0.112857142857143 0.105 0.9 4 4 0.558388860225824 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x6^4) + I(x6*x9) + I(x1*x3^2*x4^2*x6*x9^4*x10*x12) + I(x6^2)"
"22" 0.112857142857143 0.1525 0.9 4 4 0.549105091315923 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x6^4) + I(x1*x4^4*x8^5*x10^8*x12^2) + I(x6^2) + I(x5^2*x6^8*x7^2*x10^8*x12^2)"
"23" 0.112857142857143 0.1525 0.78 4 4 0.5310859756107 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x6^2) + I(x6^4) + I(x3*x4*x7^2*x9^8*x10^8) + I(x8^2*x10^8*x13)"
"24" 0.112857142857143 0.1525 0.78 5 4 0.561381413164163 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x3^2*x9^8*x13) + I(x13^4) + I(x1^8*x5*x7) + I(x6^2) + I(x6^8*x7)"
"25" 0.112857142857143 0.1525 0.78 5 2 0.557214121845509 "I(x1) + I(x2) + I(x3) + I(x4) + I(x5) + I(x6) + I(x7) + I(x8) + I(x9) + I(x10) + I(x11) + I(x12) + I(x13) + I(x6^2) + I(x9^3*x10*x13^2) + I(x8*x9^2*x10^2*x13) + I(x1*x5*x9) + I(x6*x7*x9^2)"
