"ga.eprr.0.7" "ga.eprr.0.8" "ga.eprr.0.9" "ga.epr" "lin.reg" "svm" "rpart" "rf" "ci.tree"
"34" 0.35483 0.38857 0.44428 0.40734 0.42551 0.42253 0.41881 0.33941 0.40871
"35" 0.40937 0.35675 0.36521 0.38272 0.49370 0.50978 0.44511 0.40168 0.50682
"36" 0.35091 0.43044 0.35914 0.39430 0.46091 0.47336 0.46556 0.38840 0.49637
"37" 0.42098 0.36391 0.36457 0.44333 0.47309 0.48782 0.51258 0.40190 0.47738
"38" 0.4096  0.33737 0.43757 0.36236 0.43701 0.47771 0.42537 0.40178 0.44929
"39" 0.34485 0.35153 0.42197 0.40750 0.49990 0.50850 0.53326 0.41889 0.48326
"40" 0.35259 0.36428 0.36805 0.40072 0.40685 0.40911 0.43274 0.33515 0.40208
"41" 0.41438 0.34560 0.35173 0.47807 0.36291 0.36286 0.43039 0.28829 0.35115
"42" 0.38617 0.37047 0.37720 0.37450 0.48319 0.49723 0.52409 0.44603 0.53620
"43" 0.39983 0.41696 0.36211 0.41119 0.42429 0.42286 0.41785 0.38462 0.45109
"44" 0.35609 0.40397 0.36464 0.31962 0.44938 0.46139 0.53139 0.41828 0.46201
"45" 0.37145 0.36276 0.35701 0.37529 0.41097 0.39576 0.37003 0.31741 0.36132
"46" 0.44009 0.41521 0.44488 0.39742 0.43364 0.44707 0.45584 0.36202 0.46435
"47" 0.43243 0.47366 0.39662 0.38446 0.41826 0.42025 0.50313 0.35063 0.40728
"48" 0.31142 0.35488 0.43149 0.39671 0.39620 0.42314 0.43890 0.36641 0.40645
"49" 0.39081 0.37446 0.38699 0.54007 0.40274 0.37999 0.46416 0.33686 0.40735
"50" 0.35931 0.37768 0.34758 0.39380 0.39733 0.38969 0.40929 0.33968 0.43453
"51" 0.45161 0.39773 0.37950 0.38420 0.42416 0.42588 0.47854 0.37509 0.47353
"52" 0.42608 0.34952 0.36396 0.41838 0.44241 0.47538 0.42280 0.37549 0.40609
"53" 0.36468 0.43889 0.38322 0.35558 0.40571 0.40813 0.41342 0.30190 0.37787
"54" 0.41497 0.41314 0.35350 0.71379 0.45420 0.45882 0.45690 0.38205 0.44454
"55" 0.41582 0.43573 0.38628 0.38829 0.39703 0.40258 0.40151 0.32453 0.40920
"56" 0.43715 0.35560 0.40171 0.73299 0.45774 0.45548 0.45505 0.37295 0.43428
"57" 0.38543 0.43714 0.44499 0.38708 0.42590 0.40992 0.42174 0.33025 0.44619
"58" 0.44776 0.43278 0.39867 0.35447 0.38349 0.41586 0.39846 0.31839 0.37514
"59" 0.37636 0.45046 0.41628 0.37848 0.41579 0.41597 0.44177 0.32230 0.39055
"60" 0.41757 0.31108 0.53564 0.32701 0.42814 0.43227 0.45854 0.32613 0.40613
"61" 0.35079 0.41500 0.36416 0.28683 0.43402 0.46163 0.44752 0.34675 0.46463
"62" 0.41775 0.40726 0.37177 0.39047 0.41272 0.43147 0.43246 0.34391 0.38308
"63" 0.40935 0.41607 0.46738 0.37712 0.46949 0.48162 0.44525 0.38726 0.48568
"64" 0.41763 0.40972 0.39568 0.37035 0.40841 0.43957 0.54786 0.41005 0.45784
"65" 0.3798  0.35643 0.44714 0.32668 0.43591 0.45646 0.41670 0.36050 0.43541
"66" 0.44143 0.44838 0.35084 0.37604 0.44597 0.46147 0.41583 0.35434 0.43804
"67" 0.36779 0.45992 0.87991 0.36779 0.42360 0.42457 0.44399 0.32955 0.42375
"68" 0.31923 0.42416 0.45323 0.37780 0.43913 0.41902 0.43284 0.33098 0.44748
"69" 0.41798 0.43574 0.53079 0.43481 0.40417 0.39561 0.47843 0.36588 0.46426
"70" 0.3633  0.36904 0.38718 0.39428 0.44870 0.45757 0.41600 0.34829 0.47600
"71" 0.38428 0.35398 0.56844 0.39376 0.37031 0.37484 0.34945 0.31427 0.34790
"72" 0.36629 0.41323 0.40541 0.32884 0.41873 0.41129 0.38613 0.33231 0.44719
"73" 0.42969 0.40257 0.34060 0.33590 0.45561 0.46877 0.48462 0.38573 0.48537
"74" 0.40965 0.32888 0.33691 0.36741 0.41983 0.42514 0.44412 0.37278 0.40161
"75" 0.42454 0.44489 0.42105 0.33054 0.47578 0.48035 0.46143 0.36890 0.44938
 
