"iteration" "lambda0.8" "lambda0.975" "lambda1"
"75" 75 0.38919 0.39178 0.40962
"76" 76 0.38919 0.39178 0.40962
"77" 77 0.38919 0.39178 0.40962
"78" 78 0.38919 0.39178 0.40962
"79" 79 0.38919 0.39178 0.40962
"80" 80 0.38919 0.39178 0.40962
"81" 81 0.38919 0.39178 0.40962
"82" 82 0.38919 0.39178 0.40962
"83" 83 0.38919 0.39178 0.40962
"84" 84 0.38919 0.39178 0.40962
"85" 85 0.38919 0.39178 0.40962
"86" 86 0.38919 0.39178 0.40962
"87" 87 0.38919 0.39178 0.40962
"88" 88 0.38919 0.39178 0.40962
"89" 89 0.38919 0.39178 0.40962
"90" 90 0.38919 0.39178 0.40962
"91" 91 0.38919 0.39178 0.40962
"92" 92 0.38919 0.39178 0.40962
"93" 93 0.38919 0.39178 0.40962
"94" 94 0.38916 0.39178 0.40962
"95" 95 0.38916 0.39178 0.40962
"96" 96 0.38916 0.39178 0.40962
"97" 97 0.38916 0.39178 0.40962
"98" 98 0.38916 0.39178 0.40962
"99" 99 0.38916 0.39178 0.40962
"100" 100 0.38916 0.39178 0.40962
"101" 101 0.38916 0.39178 0.40962
"102" 102 0.38916 0.39178 0.40962
"103" 103 0.38916 0.39178 0.40962
"104" 104 0.38916 0.39178 0.40962
"105" 105 0.38916 0.39178 0.40962
"106" 106 0.38916 0.39178 0.40962
"107" 107 0.38916 0.39178 0.40962
"108" 108 0.38916 0.39178 0.40962
"109" 109 0.38916 0.39178 0.40962
"110" 110 0.38916 0.39178 0.40962
"111" 111 0.38916 0.39178 0.40962
"112" 112 0.38916 0.39178 0.40962
"113" 113 0.38916 0.39178 0.40962
"114" 114 0.38916 0.39178 0.40962
"115" 115 0.38916 0.39178 0.40962
"116" 116 0.38895 0.39178 0.40962
"117" 117 0.38895 0.39178 0.40962
"118" 118 0.38895 0.39178 0.40962
"119" 119 0.38895 0.39178 0.40962
"120" 120 0.38895 0.39178 0.40962
"121" 121 0.38895 0.39178 0.40962
"122" 122 0.38895 0.39178 0.40962
"123" 123 0.38895 0.39178 0.40962
"124" 124 0.38895 0.39178 0.40962
"125" 125 0.38895 0.39178 0.40962
"126" 126 0.38895 0.39178 0.40962
"127" 127 0.38895 0.39178 0.40962
"128" 128 0.38895 0.39178 0.40962
"129" 129 0.38895 0.39178 0.40962
"130" 130 0.38895 0.39178 0.40962
"131" 131 0.38895 0.39178 0.40962
"132" 132 0.38895 0.39178 0.40962
"133" 133 0.38528 0.39178 0.40962
"134" 134 0.38528 0.39178 0.40962
"135" 135 0.38528 0.39178 0.40962
"136" 136 0.38528 0.39178 0.40962
"137" 137 0.38528 0.39178 0.40962
"138" 138 0.38528 0.39178 0.40962
"139" 139 0.38528 0.39178 0.40962
"140" 140 0.38528 0.39178 0.40962
"141" 141 0.38528 0.39178 0.40962
"142" 142 0.38528 0.39178 0.40962
"143" 143 0.38528 0.39178 0.40962
"144" 144 0.38528 0.39178 0.40962
"145" 145 0.38528 0.39178 0.40962
"146" 146 0.38528 0.39178 0.40962
"147" 147 0.38528 0.39178 0.40962
"148" 148 0.38528 0.39178 0.40962
"149" 149 0.38528 0.39178 0.40962
"150" 150 0.38528 0.39178 0.40962
"151" 151 0.38528 0.39178 0.40962
"152" 152 0.38525 0.39178 0.40962
"153" 153 0.38525 0.39178 0.40962
"154" 154 0.38525 0.39178 0.40962
"155" 155 0.38525 0.39178 0.40962
"156" 156 0.38525 0.39178 0.40962
"157" 157 0.38525 0.39178 0.40962
"158" 158 0.38525 0.39178 0.40962
"159" 159 0.38525 0.39178 0.40962
"160" 160 0.38525 0.39178 0.40962
"161" 161 0.38525 0.39178 0.40962
"162" 162 0.38525 0.39178 0.40962
"163" 163 0.38525 0.39178 0.40962
"164" 164 0.38525 0.39178 0.40962
"165" 165 0.38525 0.39178 0.40962
"166" 166 0.38525 0.39178 0.40962
"167" 167 0.38525 0.39178 0.40962
"168" 168 0.38525 0.39178 0.40962
"169" 169 0.38525 0.39178 0.40962
"170" 170 0.38525 0.39178 0.40962
"171" 171 0.38525 0.39178 0.40962
"172" 172 0.38525 0.39178 0.40962
"173" 173 0.38525 0.39178 0.40962
"174" 174 0.38525 0.39178 0.40962
"175" 175 0.38525 0.39178 0.40962
"176" 176 0.38525 0.39178 0.40962
"177" 177 0.38205 0.39178 0.40962
"178" 178 0.38205 0.39178 0.40962
"179" 179 0.38205 0.39178 0.40962
"180" 180 0.38205 0.39178 0.40962
"181" 181 0.38205 0.39178 0.40962
"182" 182 0.38205 0.39178 0.40962
"183" 183 0.38205 0.39178 0.40962
"184" 184 0.38205 0.39178 0.40962
"185" 185 0.38205 0.39178 0.40962
"186" 186 0.38205 0.39178 0.40962
"187" 187 0.38205 0.39178 0.40962
"188" 188 0.38205 0.39178 0.40962
"189" 189 0.38205 0.39178 0.40962
"190" 190 0.38205 0.39178 0.40962
"191" 191 0.38205 0.39178 0.40962
"192" 192 0.38205 0.39178 0.40962
"193" 193 0.38205 0.39178 0.40916
"194" 194 0.38205 0.39178 0.40916
"195" 195 0.38205 0.39178 0.40916
"196" 196 0.38205 0.39178 0.40916
"197" 197 0.38205 0.39178 0.40196
"198" 198 0.38205 0.39178 0.40196
"199" 199 0.38205 0.39178 0.40196
"200" 200 0.38205 0.39178 0.40196
"201" 201 0.38205 0.39178 0.40196
"202" 202 0.38205 0.39178 0.40196
"203" 203 0.38205 0.39178 0.40196
"204" 204 0.38205 0.39178 0.40196
"205" 205 0.38205 0.39178 0.40196
"206" 206 0.38205 0.39178 0.40196
"207" 207 0.38205 0.39178 0.40196
"208" 208 0.38205 0.39178 0.40196
"209" 209 0.38205 0.39178 0.40196
"210" 210 0.38205 0.39178 0.40196
"211" 211 0.38205 0.39178 0.40196
"212" 212 0.38205 0.39178 0.40196
"213" 213 0.38205 0.39178 0.40196
"214" 214 0.38205 0.39178 0.40196
"215" 215 0.38205 0.39178 0.40196
"216" 216 0.38205 0.39178 0.40196
"217" 217 0.38205 0.39178 0.40196
"218" 218 0.38205 0.39178 0.40196
"219" 219 0.38205 0.39178 0.40196
"220" 220 0.38205 0.39178 0.40196
"221" 221 0.38205 0.39178 0.40196
"222" 222 0.38205 0.39178 0.40196
"223" 223 0.38205 0.39161 0.40196
"224" 224 0.37793 0.39161 0.40196
"225" 225 0.37793 0.39161 0.40196
"226" 226 0.37793 0.39161 0.40196
"227" 227 0.37793 0.39161 0.40196
"228" 228 0.37793 0.39161 0.40196
"229" 229 0.37793 0.39161 0.40196
"230" 230 0.37793 0.39161 0.40196
"231" 231 0.37793 0.39161 0.40196
"232" 232 0.37793 0.39161 0.40196
"233" 233 0.37793 0.39161 0.40196
"234" 234 0.37793 0.39161 0.40196
"235" 235 0.37793 0.39161 0.40196
"236" 236 0.37793 0.39161 0.40196
"237" 237 0.37793 0.39161 0.40196
"238" 238 0.37793 0.39161 0.40196
"239" 239 0.37793 0.39161 0.40196
"240" 240 0.37793 0.39161 0.40196
"241" 241 0.37793 0.39161 0.40196
"242" 242 0.37793 0.39161 0.40196
"243" 243 0.37793 0.39161 0.40196
"244" 244 0.37793 0.39161 0.40196
"245" 245 0.37793 0.39161 0.40196
"246" 246 0.37793 0.39161 0.40196
"247" 247 0.37793 0.39161 0.40196
"248" 248 0.37793 0.39161 0.40196
"249" 249 0.37793 0.39161 0.40196
"250" 250 0.37793 0.39161 0.40196
"251" 251 0.37793 0.39161 0.40196
"252" 252 0.37793 0.39161 0.40196
"253" 253 0.37793 0.39161 0.40196
"254" 254 0.37793 0.39161 0.40196
"255" 255 0.37793 0.39161 0.40196
"256" 256 0.37793 0.39161 0.40096
"257" 257 0.37793 0.39161 0.40096
"258" 258 0.37793 0.39161 0.40096
"259" 259 0.37793 0.39161 0.40096
"260" 260 0.37793 0.39161 0.40096
"261" 261 0.37793 0.39161 0.40096
"262" 262 0.37793 0.39161 0.40096
"263" 263 0.37793 0.39161 0.40096
"264" 264 0.37793 0.39161 0.40096
"265" 265 0.37793 0.39161 0.39965
"266" 266 0.37793 0.39161 0.39965
"267" 267 0.37793 0.39161 0.39965
"268" 268 0.37793 0.39161 0.39965
"269" 269 0.37793 0.39161 0.39965
"270" 270 0.37793 0.39161 0.39965
"271" 271 0.37793 0.39161 0.39965
"272" 272 0.37793 0.39161 0.39965
"273" 273 0.37793 0.39161 0.39965
"274" 274 0.37793 0.39161 0.39965
"275" 275 0.37793 0.39161 0.39965
"276" 276 0.37793 0.39161 0.39965
"277" 277 0.37793 0.39161 0.39965
"278" 278 0.37793 0.39161 0.39965
"279" 279 0.37793 0.39161 0.39965
"280" 280 0.37793 0.39161 0.39965
"281" 281 0.37793 0.39161 0.39965
"282" 282 0.37433 0.39161 0.39965
"283" 283 0.37433 0.39161 0.39965
"284" 284 0.37433 0.39161 0.39965
"285" 285 0.37433 0.39161 0.39965
"286" 286 0.37433 0.39161 0.39965
"287" 287 0.37433 0.39161 0.39965
"288" 288 0.37433 0.39161 0.39965
"289" 289 0.37433 0.39161 0.39965
"290" 290 0.37433 0.39161 0.39965
"291" 291 0.37433 0.39161 0.39965
"292" 292 0.37433 0.39161 0.39965
"293" 293 0.37433 0.39161 0.39965
"294" 294 0.37433 0.39161 0.39965
"295" 295 0.37433 0.39161 0.39965
"296" 296 0.37433 0.39161 0.39965
"297" 297 0.37433 0.39161 0.39965
"298" 298 0.37433 0.39161 0.39965
"299" 299 0.37433 0.39161 0.39965
"300" 300 0.37433 0.39161 0.39965
"301" 301 0.37433 0.39161 0.39965
"302" 302 0.37433 0.39161 0.39965
"303" 303 0.37433 0.39161 0.39965
"304" 304 0.37433 0.39161 0.39965
"305" 305 0.37433 0.39161 0.39965
"306" 306 0.37433 0.39161 0.39965
"307" 307 0.37433 0.38848 0.39965
"308" 308 0.37433 0.38848 0.39965
"309" 309 0.37433 0.38848 0.39965
"310" 310 0.37433 0.38848 0.39965
"311" 311 0.37433 0.38848 0.39965
"312" 312 0.37433 0.38848 0.39965
"313" 313 0.37433 0.38848 0.39965
"314" 314 0.37433 0.38848 0.39965
"315" 315 0.37433 0.38848 0.39965
"316" 316 0.37433 0.38848 0.39965
"317" 317 0.37433 0.38848 0.39965
"318" 318 0.37433 0.38848 0.39965
"319" 319 0.37433 0.38848 0.39965
"320" 320 0.37433 0.38848 0.39965
"321" 321 0.37433 0.38848 0.39965
"322" 322 0.37433 0.38848 0.39965
"323" 323 0.37433 0.38848 0.39965
"324" 324 0.37433 0.38848 0.39965
"325" 325 0.37433 0.38848 0.39965
"326" 326 0.37433 0.38848 0.39965
"327" 327 0.37433 0.38848 0.39965
"328" 328 0.37433 0.38848 0.39965
"329" 329 0.37433 0.38848 0.39965
"330" 330 0.37433 0.38848 0.39965
"331" 331 0.37433 0.38848 0.39965
"332" 332 0.37433 0.38848 0.39965
"333" 333 0.37433 0.38848 0.39965
"334" 334 0.37433 0.38848 0.39965
"335" 335 0.37433 0.38848 0.39965
"336" 336 0.37433 0.38848 0.39965
"337" 337 0.37433 0.38848 0.39965
"338" 338 0.37433 0.38848 0.39965
"339" 339 0.37433 0.38848 0.39965
"340" 340 0.37433 0.38848 0.39965
"341" 341 0.37433 0.38848 0.39965
"342" 342 0.37016 0.38848 0.39965
"343" 343 0.37016 0.38848 0.39965
"344" 344 0.37016 0.38848 0.39965
"345" 345 0.37016 0.38848 0.39965
"346" 346 0.37016 0.38848 0.39965
"347" 347 0.37016 0.38848 0.39965
"348" 348 0.37016 0.38848 0.39965
"349" 349 0.37016 0.38848 0.39965
"350" 350 0.37016 0.38848 0.39965
"351" 351 0.37016 0.38848 0.39965
"352" 352 0.37016 0.38848 0.39965
"353" 353 0.37016 0.38848 0.39965
"354" 354 0.37016 0.38848 0.39965
"355" 355 0.37016 0.38848 0.39965
"356" 356 0.37016 0.38848 0.39965
"357" 357 0.37016 0.38848 0.39965
"358" 358 0.37016 0.38848 0.39965
"359" 359 0.37016 0.38848 0.39965
"360" 360 0.37016 0.38848 0.39965
"361" 361 0.37016 0.38848 0.39965
"362" 362 0.37016 0.38848 0.39877
"363" 363 0.37016 0.38848 0.39877
"364" 364 0.37016 0.38848 0.39877
"365" 365 0.37016 0.38848 0.39877
"366" 366 0.37016 0.38848 0.39877
"367" 367 0.37016 0.38848 0.39877
"368" 368 0.37016 0.38848 0.39877
"369" 369 0.37016 0.38848 0.39877
"370" 370 0.37016 0.38848 0.39877
"371" 371 0.37016 0.38848 0.39877
"372" 372 0.37016 0.38848 0.39877
"373" 373 0.37016 0.38848 0.39877
"374" 374 0.37016 0.38848 0.39877
"375" 375 0.37016 0.38848 0.39877
"376" 376 0.37016 0.38848 0.39877
"377" 377 0.37016 0.38848 0.39877
"378" 378 0.37016 0.38848 0.39877
"379" 379 0.37016 0.38848 0.39877
"380" 380 0.37016 0.38848 0.39877
"381" 381 0.37016 0.38848 0.39877
"382" 382 0.37016 0.38848 0.39877
"383" 383 0.37016 0.38848 0.39877
"384" 384 0.37016 0.38848 0.39877
"385" 385 0.37016 0.38848 0.39877
"386" 386 0.37016 0.38848 0.39877
"387" 387 0.37016 0.38848 0.39877
"388" 388 0.37016 0.38848 0.39877
"389" 389 0.37016 0.38848 0.39877
"390" 390 0.37016 0.38848 0.39877
"391" 391 0.37016 0.38848 0.39877
"392" 392 0.37016 0.38848 0.39877
"393" 393 0.37016 0.38848 0.39877
"394" 394 0.37016 0.38848 0.39877
"395" 395 0.37016 0.38848 0.39877
"396" 396 0.37016 0.38848 0.39877
"397" 397 0.37016 0.38848 0.39877
"398" 398 0.37016 0.38848 0.39877
"399" 399 0.37016 0.38848 0.39835
"400" 400 0.37016 0.38848 0.39835
"401" 401 0.37016 0.38848 0.39835
"402" 402 0.37016 0.38848 0.39835
"403" 403 0.37016 0.38848 0.39835
"404" 404 0.37016 0.38848 0.39835
"405" 405 0.37016 0.38848 0.39835
"406" 406 0.37016 0.38848 0.39835
"407" 407 0.37016 0.38848 0.39835
"408" 408 0.37016 0.38848 0.39835
"409" 409 0.37016 0.38848 0.39835
"410" 410 0.37016 0.38848 0.39835
"411" 411 0.37016 0.38848 0.39835
"412" 412 0.37016 0.38848 0.39835
"413" 413 0.37016 0.38848 0.39835
"414" 414 0.37016 0.38848 0.39835
"415" 415 0.37016 0.38848 0.39835
"416" 416 0.37016 0.38848 0.39835
"417" 417 0.37016 0.38848 0.39835
"418" 418 0.37016 0.38848 0.39835
"419" 419 0.37016 0.38848 0.39835
"420" 420 0.37016 0.38848 0.39835
"421" 421 0.37016 0.38848 0.39835
"422" 422 0.37016 0.38848 0.39835
"423" 423 0.37016 0.38848 0.39835
"424" 424 0.37016 0.38848 0.39835
"425" 425 0.37016 0.38848 0.39835
"426" 426 0.37016 0.38848 0.39835
"427" 427 0.37016 0.38848 0.39816
"428" 428 0.37016 0.38848 0.39816
"429" 429 0.37016 0.38848 0.39816
"430" 430 0.37016 0.38848 0.39816
"431" 431 0.37016 0.38848 0.39816
"432" 432 0.37016 0.38848 0.39816
"433" 433 0.37016 0.38848 0.39816
"434" 434 0.37016 0.38848 0.39816
"435" 435 0.37016 0.38848 0.39816
"436" 436 0.37016 0.38848 0.39816
"437" 437 0.37016 0.38848 0.39816
"438" 438 0.37016 0.38848 0.39816
"439" 439 0.37016 0.38848 0.39816
"440" 440 0.37016 0.38848 0.39816
"441" 441 0.37016 0.38848 0.39816
"442" 442 0.37016 0.38848 0.39816
"443" 443 0.37016 0.38848 0.39816
"444" 444 0.37016 0.38848 0.39816
"445" 445 0.37016 0.38848 0.39816
"446" 446 0.37016 0.38848 0.39816
"447" 447 0.37016 0.38848 0.39816
"448" 448 0.37016 0.38848 0.39816
"449" 449 0.37016 0.38848 0.39816
"450" 450 0.37016 0.38848 0.39816
"451" 451 0.37016 0.38848 0.39816
"452" 452 0.37016 0.38848 0.39816
"453" 453 0.37016 0.38848 0.39816
"454" 454 0.37016 0.38848 0.39816
"455" 455 0.37016 0.38848 0.39816
"456" 456 0.37016 0.38848 0.39816
"457" 457 0.37016 0.38848 0.39816
"458" 458 0.37016 0.38848 0.39816
"459" 459 0.37016 0.38848 0.39816
"460" 460 0.37016 0.38848 0.39816
"461" 461 0.37016 0.38848 0.39816
"462" 462 0.37016 0.38848 0.39816
"463" 463 0.37016 0.38848 0.39816
"464" 464 0.37016 0.38848 0.39816
"465" 465 0.37016 0.38848 0.39782
"466" 466 0.37016 0.38848 0.39782
"467" 467 0.37016 0.38848 0.39782
"468" 468 0.37016 0.38848 0.39782
"469" 469 0.37016 0.38848 0.39782
"470" 470 0.37016 0.38848 0.39782
"471" 471 0.37016 0.38848 0.39782
"472" 472 0.37016 0.38848 0.39782
"473" 473 0.37016 0.38848 0.39782
"474" 474 0.37016 0.38848 0.39782
"475" 475 0.37016 0.38848 0.39782
"476" 476 0.37016 0.38848 0.39782
"477" 477 0.37016 0.38848 0.39782
"478" 478 0.37016 0.38848 0.39782
"479" 479 0.37016 0.38848 0.39782
"480" 480 0.37016 0.38848 0.39782
"481" 481 0.37016 0.38848 0.39782
"482" 482 0.37016 0.38848 0.39782
"483" 483 0.37016 0.38848 0.39782
"484" 484 0.37016 0.38848 0.39782
"485" 485 0.37016 0.38848 0.39782
"486" 486 0.37016 0.38848 0.39782
"487" 487 0.37016 0.38848 0.39782
"488" 488 0.37016 0.38848 0.39782
"489" 489 0.37016 0.38848 0.39782
"490" 490 0.37016 0.38848 0.39782
"491" 491 0.37016 0.38848 0.39782
"492" 492 0.37016 0.38848 0.39782
"493" 493 0.37016 0.38848 0.39782
"494" 494 0.37016 0.38848 0.39782
"495" 495 0.37016 0.38848 0.39782
"496" 496 0.37016 0.38848 0.39782
"497" 497 0.37016 0.38848 0.39782
"498" 498 0.37016 0.38826 0.39782
"499" 499 0.37016 0.38826 0.39782
"500" 500 0.37016 0.38826 0.39782
"501" 501 0.37016 0.38826 0.39782
"502" 502 0.37016 0.38826 0.39782
"503" 503 0.37016 0.38826 0.39782
"504" 504 0.37016 0.38826 0.39782
"505" 505 0.37016 0.38826 0.39782
"506" 506 0.37016 0.38826 0.39782
"507" 507 0.37016 0.38826 0.39782
"508" 508 0.37016 0.38826 0.39782
"509" 509 0.37016 0.38826 0.3977
"510" 510 0.37016 0.38826 0.3977
"511" 511 0.37016 0.38826 0.3977
"512" 512 0.37016 0.38826 0.3977
"513" 513 0.37016 0.38826 0.3977
"514" 514 0.37016 0.38826 0.3977
"515" 515 0.37016 0.38826 0.3977
"516" 516 0.37016 0.38826 0.3977
"517" 517 0.37016 0.38826 0.3977
"518" 518 0.37016 0.38826 0.3977
"519" 519 0.37016 0.38826 0.3977
"520" 520 0.37016 0.38826 0.3977
"521" 521 0.37016 0.38826 0.3977
"522" 522 0.37016 0.38826 0.3977
"523" 523 0.37016 0.38826 0.3977
"524" 524 0.37016 0.38826 0.3977
"525" 525 0.37016 0.38826 0.3977
"526" 526 0.37016 0.38826 0.3977
"527" 527 0.37016 0.38826 0.3977
"528" 528 0.37016 0.38826 0.3977
"529" 529 0.37016 0.38826 0.3977
"530" 530 0.37016 0.38826 0.3977
"531" 531 0.37016 0.38826 0.3977
"532" 532 0.37016 0.38826 0.3977
"533" 533 0.37016 0.38826 0.3977
"534" 534 0.37016 0.38826 0.3977
"535" 535 0.37016 0.38826 0.3977
"536" 536 0.37016 0.38826 0.3977
"537" 537 0.37016 0.38826 0.3977
"538" 538 0.37016 0.38826 0.3977
"539" 539 0.37016 0.38826 0.3973
"540" 540 0.37016 0.38826 0.3973
"541" 541 0.37016 0.38826 0.3973
"542" 542 0.37016 0.38826 0.3973
"543" 543 0.37016 0.38826 0.3973
"544" 544 0.37016 0.38826 0.3973
"545" 545 0.37016 0.38826 0.3973
"546" 546 0.37016 0.38826 0.3973
"547" 547 0.37016 0.38826 0.3973
"548" 548 0.37016 0.38826 0.3973
"549" 549 0.37016 0.38826 0.3973
"550" 550 0.37016 0.38826 0.3973
"551" 551 0.37016 0.38826 0.3973
"552" 552 0.37016 0.38826 0.3973
"553" 553 0.37016 0.38826 0.3973
"554" 554 0.37016 0.38826 0.3973
"555" 555 0.37016 0.38826 0.3973
"556" 556 0.37016 0.38826 0.3973
"557" 557 0.37016 0.38826 0.3973
"558" 558 0.37016 0.38826 0.3973
"559" 559 0.37016 0.38826 0.3973
"560" 560 0.37016 0.38826 0.3973
"561" 561 0.37016 0.38826 0.3973
"562" 562 0.37016 0.38826 0.3973
"563" 563 0.37016 0.38826 0.3973
"564" 564 0.37016 0.38826 0.3973
"565" 565 0.37016 0.38826 0.3973
"566" 566 0.37016 0.38826 0.3973
"567" 567 0.37016 0.38826 0.3973
"568" 568 0.37016 0.38826 0.3973
"569" 569 0.37016 0.38826 0.3973
"570" 570 0.37016 0.38826 0.3973
"571" 571 0.37016 0.38826 0.3973
"572" 572 0.37016 0.38826 0.3973
"573" 573 0.37016 0.38826 0.3973
"574" 574 0.37016 0.38826 0.3973
"575" 575 0.37016 0.38826 0.3973
"576" 576 0.37016 0.38826 0.3973
"577" 577 0.37016 0.38826 0.3973
"578" 578 0.37016 0.38826 0.3973
"579" 579 0.37016 0.38826 0.39535
"580" 580 0.37016 0.38826 0.39535
"581" 581 0.37016 0.38826 0.39535
"582" 582 0.37016 0.38826 0.39535
"583" 583 0.37016 0.38826 0.39535
"584" 584 0.37016 0.38826 0.39535
"585" 585 0.37016 0.38826 0.39535
"586" 586 0.37016 0.38826 0.39535
"587" 587 0.37016 0.38826 0.39535
"588" 588 0.37016 0.38826 0.39535
"589" 589 0.37016 0.38826 0.39535
"590" 590 0.37016 0.38826 0.39535
"591" 591 0.37016 0.38826 0.39535
"592" 592 0.37016 0.38826 0.39535
"593" 593 0.37016 0.38826 0.39535
"594" 594 0.37016 0.38826 0.39535
"595" 595 0.37016 0.38826 0.39535
"596" 596 0.37016 0.38826 0.39535
"597" 597 0.37016 0.38826 0.39535
"598" 598 0.37016 0.38826 0.39535
"599" 599 0.37016 0.38826 0.39535
"600" 600 0.37016 0.38826 0.39535
"601" 601 0.37016 0.38826 0.39535
"602" 602 0.37016 0.38826 0.39535
"603" 603 0.37016 0.38826 0.39535
"604" 604 0.37016 0.38826 0.39535
"605" 605 0.37016 0.38826 0.39535
"606" 606 0.37016 0.38826 0.39535
"607" 607 0.37016 0.38826 0.39535
"608" 608 0.37016 0.38826 0.39535
"609" 609 0.37016 0.38826 0.39535
"610" 610 0.37016 0.38826 0.39535
"611" 611 0.37016 0.38826 0.39535
"612" 612 0.37016 0.38826 0.39535
"613" 613 0.37016 0.38826 0.39535
"614" 614 0.37016 0.38826 0.39535
"615" 615 0.37016 0.38826 0.39535
"616" 616 0.37016 0.38826 0.39535
"617" 617 0.37016 0.38826 0.39535
"618" 618 0.37016 0.38826 0.39535
"619" 619 0.37016 0.38826 0.39535
"620" 620 0.37016 0.38826 0.39535
"621" 621 0.37016 0.38826 0.39535
"622" 622 0.37016 0.38826 0.39535
"623" 623 0.37016 0.38826 0.39535
"624" 624 0.37016 0.38826 0.39535
"625" 625 0.37016 0.38826 0.39535
"626" 626 0.37016 0.38826 0.39535
"627" 627 0.37016 0.38826 0.39535
"628" 628 0.37016 0.38826 0.39535
"629" 629 0.37016 0.38826 0.39535
"630" 630 0.37016 0.38826 0.39535
"631" 631 0.37016 0.38826 0.39535
"632" 632 0.37016 0.38826 0.39535
"633" 633 0.37016 0.38826 0.39535
"634" 634 0.37016 0.38826 0.39535
"635" 635 0.37016 0.38826 0.39535
"636" 636 0.37016 0.38826 0.39535
"637" 637 0.37016 0.38826 0.39535
"638" 638 0.37016 0.38826 0.39535
"639" 639 0.37016 0.38826 0.39535
"640" 640 0.37016 0.38826 0.39535
"641" 641 0.37016 0.38826 0.39535
"642" 642 0.37016 0.38826 0.39535
"643" 643 0.37016 0.38826 0.39535
"644" 644 0.37016 0.38826 0.39535
"645" 645 0.37016 0.38826 0.39535
"646" 646 0.37016 0.38826 0.39535
"647" 647 0.37016 0.38826 0.39535
"648" 648 0.37016 0.38826 0.39535
"649" 649 0.37016 0.38826 0.39535
"650" 650 0.37016 0.38826 0.39535
"651" 651 0.37016 0.38826 0.39535
"652" 652 0.37016 0.38826 0.39535
"653" 653 0.37016 0.38826 0.39535
"654" 654 0.37016 0.38826 0.39535
"655" 655 0.37016 0.38826 0.39535
"656" 656 0.37015 0.38826 0.39535
"657" 657 0.37015 0.38826 0.39535
"658" 658 0.37015 0.38826 0.39535
"659" 659 0.37015 0.38826 0.39535
"660" 660 0.37015 0.38826 0.39535
"661" 661 0.37015 0.38826 0.39535
"662" 662 0.37015 0.38826 0.39535
"663" 663 0.37015 0.38826 0.39535
"664" 664 0.37015 0.38826 0.39535
